item_number,question_type,question_text,correct_answer
1,true_false,信号是物理世界中传递信息的载体，而波形是信号在坐标系中的“数学照片”。,对
2,true_false,在傅里叶分析中，任何复杂的周期信号都可以看作是在正弦波和余弦波这两个“坐标轴”上的组合投影。,对
3,true_false,一个基础正弦波的形态，只需要由“振幅”和“频率”两个参数就能完全决定，不需要其他参数。,错
4,true_false,改变正弦波的“相位”，会使波形在时间轴上发生左右平移，但不会改变波的高低和疏密。,对
5,true_false,傅里叶定理指出，任何复杂的周期信号，只要满足狄利克雷条件，都可以被拆解成一系列简单的正弦波和余弦波的叠加。,对
6,true_false,狄利克雷条件要求信号必须非常平滑，不能有任何瞬间的跳变或突变。,错
7,true_false,“时域”视角关心的是信号里面包含了哪些频率成分，而“频域”视角关心的是信号强度随时间的变化。,错
8,true_false,傅里叶变换的作用，就是作为一座桥梁，将信号从时域视角转换到频域视角。,对
9,true_false,要在频域中完整地描述一个信号并能唯一重建它，只需要知道它的“幅度谱”就足够了。,错
10,true_false,幅度谱告诉我们某个频率成分“有多少”，而相位谱告诉我们这个成分“从哪里开始”。,对
11,true_false,周期信号的频谱是连续的一条曲线，而不是离散的柱子。,错
12,true_false,周期信号中包含的频率成分，只能是基波频率及其整数倍的频率（谐波）。,对
13,true_false,三角函数系的“正交性”意味着：两个不同频率的正弦波相乘后，在一个完整周期内的积分（面积）等于零。,对
14,true_false,求解傅里叶系数的过程，本质上就是把未知信号与“探测波”相乘，然后求一个周期内的积分（面积）。,对
15,true_false,如果探测波的频率与信号中某个成分的频率完全匹配，它们相乘后的积分结果依然为零。,错
16,true_false,方波信号的傅里叶级数展开式中，包含了所有的奇次谐波和偶次谐波。,错
17,true_false,在计算傅里叶系数时，如果已知一个信号是偶函数（关于Y轴对称），那么它的展开式中只包含余弦项，正弦项系数全为零。,对
18,true_false,随着叠加的谐波项数越来越多，合成的波形会越来越接近目标方波的直角边缘。,对
19,true_false,吉布斯现象是指：在方波的直角边缘处，只要叠加的谐波项数足够多（趋于无穷），那个多出来的小尖峰（过冲）最终会完全消失。,错
20,true_false,傅里叶变换不仅是一个数学计算工具，更提供了一种从“频率”角度认知世界的全新思维方式。,对
